"","employees","salaries_2017","adjustments_2017","salaries_2018","got_raise"
"1","Employee 1",43124.1652625613,2532.27381268516,45656.4390752465,TRUE
"2","Employee 2",43392.5826079212,4779.46104016155,48172.0436480828,TRUE
"3","Employee 3",47563.6694277637,9663.65569387563,57227.3251216393,TRUE
"4","Employee 4",44617.737007793,6525.41599003598,51143.152997829,TRUE
"5","Employee 5",42493.9893023111,9822.96539703384,52316.9546993449,TRUE
"6","Employee 6",42770.3212713823,7613.24675055221,50383.5680219345,TRUE
"7","Employee 7",42639.2811629921,3612.90261149406,46252.1837744862,TRUE
"8","Employee 8",49022.4891155958,-4217.58137526922,44804.9077403266,FALSE
"9","Employee 9",47724.0280946717,-3061.47991213948,44662.5481825322,FALSE
"10","Employee 10",46272.0032269135,7269.19141830876,53541.1946452223,TRUE
"11","Employee 11",45982.4367007241,-198.185865301639,45784.2508354224,FALSE
"12","Employee 12",49275.4799174145,1899.89739796147,51175.377315376,TRUE
"13","Employee 13",49130.3754830733,-4131.27901265398,44999.0964704193,FALSE
"14","Employee 14",40893.0350397713,3679.3661408592,44572.4011806305,TRUE
"15","Employee 15",44628.2681659795,8854.32172333822,53482.5898893178,TRUE
"16","Employee 16",48890.1195302606,5456.27519022673,54346.3947204873,TRUE
"17","Employee 17",44576.210307423,1278.85146881454,45855.0617762376,TRUE
"18","Employee 18",46347.6500986144,-65.1645904872566,46282.4855081271,FALSE
"19","Employee 19",41083.5459316149,-4554.48056338355,36529.0653682314,FALSE
"20","Employee 20",44971.4495264925,5858.50294562988,50829.9524721224,TRUE
"21","Employee 21",44010.7835759409,-1678.90896322206,42331.8746127188,FALSE
"22","Employee 22",42118.0292661302,8779.23956490122,50897.2688310314,TRUE
"23","Employee 23",41570.2893491834,9839.74507311359,51410.034422297,TRUE
"24","Employee 24",43076.4174694195,-3431.72729481012,39644.6901746094,FALSE
"25","Employee 25",40655.6765944697,9051.88736505806,49707.5639595278,TRUE
"26","Employee 26",42034.8465652205,9454.9220148474,51489.7685800679,TRUE
"27","Employee 27",44745.4812144861,196.235519833863,44941.7167343199,TRUE
"28","Employee 28",42853.8910858333,-14.2351514659822,42839.6559343673,FALSE
"29","Employee 29",43890.9520651214,9983.37558819912,53874.3276533205,TRUE
"30","Employee 30",48319.8129502125,-4517.76702422649,43802.045925986,FALSE
"31","Employee 31",44596.483730711,915.021400433034,45511.5051311441,TRUE
"32","Employee 32",44644.8007132858,117.231891490519,44762.0326047763,TRUE
"33","Employee 33",48150.3798509948,7726.18565941229,55876.5655104071,TRUE
"34","Employee 34",42580.0388655625,-4126.30968610756,38453.729179455,FALSE
"35","Employee 35",48920.6365775317,2635.34441357478,51555.9809911065,TRUE
"36","Employee 36",41431.0119487345,970.133562805131,42401.1455115397,TRUE
"37","Employee 37",40777.3830555379,485.619836254045,41263.002891792,TRUE
"38","Employee 38",43375.5795052275,657.170593040064,44032.7500982676,TRUE
"39","Employee 39",44188.4133662097,9551.58625729382,53739.9996235035,TRUE
"40","Employee 40",49865.6879854389,8045.108190272,57910.7961757109,TRUE
"41","Employee 41",49992.2346742824,9904.95456149802,59897.1892357804,TRUE
"42","Employee 42",49828.671021387,2716.65953681804,52545.330558205,TRUE
"43","Employee 43",49651.5099680983,-2323.70013603941,47327.8098320588,FALSE
"44","Employee 44",40911.0314608552,2170.5985115841,43081.6299724393,TRUE
"45","Employee 45",42118.2571328245,4016.84267446399,46135.0998072885,TRUE
"46","Employee 46",42820.8038490266,5645.0314167887,48465.8352658153,TRUE
"47","Employee 47",46973.7599464133,5059.29379025474,52033.0537366681,TRUE
"48","Employee 48",47304.8422695138,1952.64248992316,49257.4847594369,TRUE
"49","Employee 49",46760.681013111,1751.86772132292,48512.5487344339,TRUE
"50","Employee 50",44660.6380795129,9485.51649576984,54146.1545752827,TRUE
"51","Employee 51",47722.4116562866,7154.99304817058,54877.4047044571,TRUE
"52","Employee 52",40018.8603205606,9767.26048742421,49786.1208079848,TRUE
"53","Employee 53",46489.3822255544,9268.9743230585,55758.3565486129,TRUE
"54","Employee 54",44353.4114258364,1611.42591619864,45964.837342035,TRUE
"55","Employee 55",48417.3964103684,4848.34579052404,53265.7422008924,TRUE
"56","Employee 56",45270.8518691361,4018.11727206223,49288.9691411983,TRUE
"57","Employee 57",42590.4212589376,3234.32171717286,45824.7429761104,TRUE
"58","Employee 58",48859.2755701393,8534.63107137941,57393.9066415187,TRUE
"59","Employee 59",42262.1007147245,-2583.02383241244,39679.0768823121,FALSE
"60","Employee 60",47367.1311023645,1413.39852241799,48780.5296247825,TRUE
"61","Employee 61",46598.8469612785,-3266.41166815534,43332.4352931231,FALSE
"62","Employee 62",46202.757791616,9777.76393759996,55980.521729216,TRUE
"63","Employee 63",48414.2819303088,9631.47253147326,58045.7544617821,TRUE
